id,text,Fuente,es_gracioso_p1,es_gracioso_p2,es_gracioso_p3,Es_gracioso,nivel_gracia_p1,nivel_gracia_p2,nivel_gracia_p3
37,—Hola ¿cómo te fue en tu operación de oído? —Sí.,Dataset_existente,0,1,1,1,0,2,3
38,"—Amor, ¿qué es “stalker”? 
—¿Por qué preguntas? 
—Porque pusiste esa palabra en un tuit el 15 de enero del 2010 a las 8:24PM vía web.",Dataset_existente,1,0,1,1,3,0,4
39,"Si estás triste, abraza un zapato.. Un zapato con suela",Dataset_existente,1,1,1,1,1,4,4
40,"—Amor ¿Te gustaría que pasáramos un buen fin de semana los dos? —Sí, mi amor. —Bueno, nos vemos el lunes.",Dataset_existente,0,1,1,1,0,2,3
41,"«Califiqué con 5 estrellas una película malísima, porque si yo perdí 2 horas viéndola, los demás también»

—Todos los usuarios de Netflix.",Dataset_existente,1,1,1,1,2,2,2
42,Uno de estos días me voy a despertar antes que mi despertador y voy a gritarle para que sienta en carne propia lo que se siente.,Dataset_existente,1,1,1,1,3,2,2
43,"— Ya está todo listo para la última cena, Jesús.

— ¿Cómo que última?

— ¿Dije última? Quise decir deliciosa.

— Andas muy raro, Judas.",Dataset_existente,0,1,1,1,0,2,2
44,"-Papá, ¿cómo conociste a mamá?
-Mira, los dos descargamos una app para atrapar monstruos y nos encontramos.
-Ah, Pokémon Go.
-No, Tinder.",Dataset_existente,1,0,1,1,2,0,1
45,Como la vez que llegué tarde a una cita y ya habían cerrado las comillas.,Dataset_existente,1,1,1,1,2,3,4
46,"¿En qué se diferencian una boda y un divorcio?
En que en la boda es todo arroz y en el divorcio es todo ""paella""....",Dataset_existente,1,1,1,1,2,3,4
47,"-Doctor, me comí 50 cartas -¿y como se siente? -mazo",Dataset_existente,0,1,1,1,0,2,2
48,"- ¡Señorita!¡Eh, usted, la rubia!
- ¿Si, es a mi?
- ¡Le comunicamos que su avión viene demorado!.
- Hay qué lindo, ese es mi color favorito.",Dataset_existente,0,1,1,1,0,3,2
49,"_ Te gusta la música clásica?
- Me encanta
_ De Verdi?
- Te lo juri !",Dataset_existente,1,1,0,1,5,5,0
50,"—Buenas tardes, vengo a que me haga un tatuaje.
—¿De qué?
—De tres tristes tigres tragando trigo.
—¿Dónde?
—En un trigal.",Dataset_existente,1,1,1,1,3,1,2
51,"– ¡Mamá, me picó una serpiente! 
 - ¿Cobra? 
 - No, gratis!",Dataset_existente,1,1,1,1,3,2,4
52,—¿Que recibiste esta Navidad? —Kilos.,Dataset_existente,1,0,1,1,3,0,4
53,- ¿Qué pasa si te corto una oreja? -Me quedo medio sordo - ¿Y si te corto la otra? -Me quedo ciego - ¿Por qué? -Porque se me caen los lentes,Dataset_existente,1,0,1,1,1,0,2
54,"Cualquier cosa que hagas da siempre el 100%

Salvo que estés donando sangre",Dataset_existente,0,1,1,1,0,3,3
55,"- Mamá, mamá, hay un pobre hombre que no para de gritar. ¿Me das algo para él?
- Bueno, toma. ¿Y qué dice?
- ¡Helados, helados!",Dataset_existente,1,1,1,1,4,2,2
56,"Bro pero si no estaba tan borracho. -¿No pendejo? Tiraste a mi hamster diciendo: ""PIKACHU YO TE ELIJO."".",Dataset_existente,1,1,1,1,3,5,2
57,"Como sentir que fuiste a Starbucks sin salir de casa en tres sencillos pasos:

1. Prepárate un Nescafé
2. Bébelo
3. Quema un billete de $100",Dataset_existente,1,1,1,1,4,2,3
58,"—Oye, ¿Es verdad que eres sordo? —Un poquito, pero ya me estoy poniendo a dieta.",Dataset_existente,0,1,1,1,0,2,3
59,"- Cariño, ¿me quieres?

- Не, али ја желим да ухватим те

- ¿Qué dices? ¿Estás jodiendo?

- No, te lo digo muy en serbio.",Dataset_existente,1,1,1,1,3,3,2
60,"Me robaron todas las sillas de mi casa, no saben como me siento ahora.",Dataset_existente,1,0,1,1,1,0,5
61,"—¿Cuál es su mayor defecto?

—Me meto en conversaciones ajenas.

—Le estoy preguntando a él.

—Perdón.",Dataset_existente,1,0,1,1,2,0,5
62,"—Mamá, ¿ya puedo comenzar a comer? —¿Ya le tomaste foto para subir a instagram? —Si —Ok, adelante.",Dataset_existente,1,1,1,1,2,3,5
63,"—¿Se considera usted responsable?
—No y sí.
—¿Cómo es eso?
—Dejo las cosas a última hora, pero siempre las hago.",Dataset_existente,1,1,1,1,4,5,4
64,"Si Luis construye casas...

 ¿Enrique Iglesias?",Dataset_existente,1,1,1,1,3,1,2
65,Dicen que los hombres piensan en sexo cada 8 segundos. No se de dónde sacaron esas tetas,Dataset_existente,1,1,1,1,3,4,1
66,¿Quieres iniciar Diciembre con un celular nuevo? ¡Raspa aquí  con una puntilla!  ▒▒▒▒▒▒▒▒▒▒▒▒,Dataset_existente,1,1,1,1,3,3,2
67,"— Señora, le traemos a su esposo, estaba en un bar borrachísimo, no da ni para caminar.
— SUPUTAMADRE, ¿Y su silla de ruedas?",Dataset_existente,1,1,1,1,1,2,4
68,"Si vives en Hawai y el gobierno te quita la casa, te desaloha?",Dataset_existente,1,0,1,1,5,0,1
69,Sebastián se cree autopista y Rolo Puente. #CHISTES,Dataset_existente,1,1,1,1,4,5,3
70,A donde van las pulgas después de que se mueren? Al pulgatorio.,Dataset_existente,0,1,1,1,0,2,2
71,A mi primo se le murió su perro y mi tía le dijo que le iba a comprar otro igual. No entiendo para qué le van a servir dos perros muertos.,Dataset_existente,1,1,1,1,2,5,2
72,Estoy expandiendo mi mundo...en el último año le subí una talla al pantalón.,Dataset_existente,1,0,1,1,2,0,1
73,"Barra libre!! Este sábado en mi casa. Estas cordialmente invitado!!Solo traiga una escoba y ""Barra Libre x toda la casa"" Jaja",Dataset_existente,1,1,1,1,3,2,4
74,"-Mi mujer cuando se desnuda en la cama es como una llama -¿Es ardiente y fogosa? -¡No, es peluda y escupe! jajaja",Dataset_existente,0,1,1,1,0,2,3
75,"En la libreria..
-hola, tiene libros de contabilidad?
- Debe Haber, debe haber..",Dataset_existente,1,1,1,1,4,1,2
76,"— ¡Mamá!, ¿Cómo se dice a la mujer adicta al sexo? 
— Ninfómana hija. 
— Déjame anotarlo porque esos cabrones me dicen puta.",Dataset_existente,1,1,1,1,1,4,1
77,Mamá  me contrataron para hacer una pelicula en inglés -Pero ud no sabe hablar en inglés -No mamá solo me toca decir oh yeaH oh yeaH oh yeaH,Dataset_existente,0,1,1,1,0,2,4
78,"— Buena tarde, vengo para la entrevista laboral.
— ¿Tiene experiencia?
— Si, con esta ya son 35 entrevistas.",Dataset_existente,1,0,1,1,3,0,3
79,Mis más sinceros dejame en paz.,Dataset_existente,1,1,1,1,3,1,3
80,"La frigidez es una historia de nunca acabar.

Anoten",Dataset_existente,0,1,1,1,0,4,1
81,Los laxantes sacan lo peor de mí.,Dataset_existente,1,1,0,1,2,2,0
82,Voy a fotocopiar hojas blancas para tener más.,Dataset_existente,1,1,1,1,3,1,3
83,Increíble el desarrollo tecnológico de las cámaras de celulares y ustedes siguen sacándose fotos feas en el espejo de un baño,Dataset_existente,1,1,0,1,5,4,0
84,"No te deseo ningún mal, pero ojalá la voz de tu conciencia esté doblada al español latino.",Dataset_existente,1,1,1,1,3,4,3
85,"Cuando una mujer te responda ""OK"", lee toda la conversación y revisa donde la cagaste.",Dataset_existente,1,1,0,1,4,2,0
86,"Un ladrón me dijo: ""Dame tu dinero"" Le dije: ""No tengo dinero ni nada que dar, lo único que tengo es amor para dar"". Bailamos, fue HERMOSO.",Dataset_existente,0,1,1,1,0,2,2
87,Hice una encuesta de opinión para saber si soy inseguro. @rrouvier,Dataset_existente,1,1,1,1,4,2,3
88,Entra uno a un burdel y dice: -¿Cuanto vale la puta pelo largo? -5OO -¿Y la pelo corto? -250 -Mierda! ¿No tienes una calva?,Dataset_existente,1,1,1,1,3,1,3
89," Voy Amarte.  ¿Lo prometes?  Si, soy astronauta.",Dataset_existente,0,1,1,1,0,3,3
90,Yo no sé si soy muy malo haciendo dieta o muy bueno engordando. 😕,Dataset_existente,1,0,1,1,3,0,2
91,"Va un hombre a un bar y le pide a al camarero:
-Póngame una cerveza!
-De pressión??
-No no, simplemente alcoholismo.",Dataset_existente,1,1,1,1,4,2,4
92,"Mi perro se murió de hambre, es que nunca hago la tarea :(",Dataset_existente,1,1,1,1,2,3,4
93,"Típico: Sacar el celular para ver la hora, guardarlo y no saber qué hora es.",Dataset_existente,1,1,1,1,2,2,4
94,"Una vez llamé al 911 por error y me dió verguenza decirlo, así que incendié mi casa.",Dataset_existente,1,1,1,1,1,1,4
95,"Odio ser bipolar, es tan genial!",Dataset_existente,0,1,1,1,0,5,3
96,"-Cariño, dame el bebé 
-Espera a que llore 
-¿A que llore?. ¿Por qué? 
-¡Porque no lo encuentro!",Dataset_existente,1,1,0,1,2,2,0
97,"Los osos polares aman el frío, los bipolares a veces lo aman, a veces no... by @hadacon #fb",Dataset_existente,1,1,1,1,3,3,4
98,"—Hola, ¿qué haces? —Hago fuego con dos piedras, ¿y tú? —Reviso hotmail desde Internet Explorer. —JAJAJÁ ¡COMO UN MALDITO CAVERNÍCOLA! JAJAJÁ",Dataset_existente,1,1,1,1,2,3,1
99,"—Amor, llevamos siete meses saliendo..¿Cuándo me vas a presentar a tu familia? 
—No sé, no creo que a mi esposa le guste.",Dataset_existente,1,0,1,1,4,0,4
100,"Ojos durante un examen:
(←_←)(→_→)(←_←)(→_→)
Viene el profesor! (↓_ ↓)
¡Ya se fue! (←_←)(→_→)

#XD #RT",Dataset_existente,1,1,1,1,2,3,3
101,"-Señora, perdimos a su hijo en la operación –Nooo, ¡no puede ser! -JAJAJA no sea llorona, ya lo encontramos, estaba en el baño",Dataset_existente,1,1,0,1,2,2,0
102,"Mi primer día de dieta.
He eliminado de la casa todo lo que engorda.
Estaba delicioso.",Dataset_existente,0,1,1,1,0,3,3
103,"Farmacia - ¿Tiene algún remedio para la fatiga?
- No, está agotado   #chistes",Dataset_existente,1,0,1,1,5,0,4
104,"-Ring, ring -Diga? -Es la embajada de Laos? -Si -Uno de vainilla, por favor.",Dataset_existente,1,1,1,1,3,4,2
105,"Atencion : volco el camion que llevaba mermeladas , hay demoras
#chistes",Dataset_existente,1,1,1,1,4,3,1
106,"—Mi amor, ¿ya se me nota el gimnasio?
—Sí, ¿te lo comiste?",Dataset_existente,1,1,1,1,2,2,1
107,"Un tenedor y un cuchillo  llaman a la Cuchara! Al no darse vuelta, el tenedor dice: ""Parece que no escuchara"" #chistes",Dataset_existente,1,0,1,1,2,0,3
108,"No estoy de acuerdo con las relaciones antes del matrimonio, porque hacen llegar tarde a la ceremonia. #chistes",Dataset_existente,1,1,1,1,1,2,2
109,"—Doctor, ¿tiene pastillas para el autoestima baja?
—Sí, ¿cuántas quiere?
—No, déjelo. No me las merezco.",Dataset_existente,1,0,1,1,4,0,3
110,"─ Mira, hijo. Una lata con tu nombre

─ TE ODIO, PAPÁ

─ ¡Melocotón en almíbar, castigado!",Dataset_existente,0,1,1,1,0,3,2
111,"Dos madres hablando:
- ¡Dígale a su hijo que me deje de imitar!
- Jaimito, ¡deja de hacer el idiota!",Dataset_existente,1,0,1,1,3,0,5
112,"- Doctor, a mi amigo le picó una víbora en el pene, ¿que hago? - Chupar y sacar el veneno - Oye, ¿Que dijo el Dr? - Que te vas a morir.",Dataset_existente,1,1,1,1,4,1,3
113,"—Profe, ¿qué es bullying?

—A ver chavos, escuchen lo que esta preguntando este pobre pendejo, pinche gordo, negro, pobre.",Dataset_existente,1,1,1,1,2,4,4
114,"-¿Como te fué en el trabajo?
-Son las 8 de la tarde y tengo el 85% de bateria en el iPhone…
-Que explotadores!",Dataset_existente,1,0,1,1,3,0,3
115,"- ¿Cuánto pide por el instrumento de tortura?    - Señor, es un anillo de compromiso.",Dataset_existente,1,1,1,1,2,2,2
116,Un loco en un manicomio: Toc! Toc! y contestan desde adentro: No hay nadie!... y el loco dice: Menos mal que no vine!,Dataset_existente,1,1,1,1,2,4,4
117,"—Papá, quiero un iPhone
—¿Cuál es la palabra mágica?
—Marcela
—¿Marcela?
—Sí, la secretaria, tu amante
—¿iPhone 5S o esperamos el 6?
#XD",Dataset_existente,1,1,0,1,2,2,0
118,"-Que hacen 2 pollitos enfrente de una rotiseria?
-Están mirando una película de terror",Dataset_existente,1,1,1,1,2,2,5
119,"Mi amor, me saque la lotería! ¡Haz las maletas! 
– ¡WOOOOWW! ¿empaco para playa o para nieve? 
– Empaca todo, te vas al carajo #xD",Dataset_existente,0,1,1,1,0,3,4
120,"-Hola, conoces la calle campana ?
-No, pero me suena",Dataset_existente,1,0,1,1,2,0,3
121,"Mamaá En el noticiero Hay 11 Muertos , Nono HIja esta jugando Argentina..
#chistes",Dataset_existente,1,1,0,1,2,1,0
122,"—Mi amor, ¿por qué estas desnuda? —No tengo que ponerme —Cómo que no, mira 1vestido, 2vestidos, 3vestidos, hola vecino, 4vestidos, 5vestidos",Dataset_existente,1,1,1,1,2,3,1
123,"Dos ex esposos conversando:
- Estaré a tu lado el resto de mi vida
- ¿En serio?
- Si, me casaré con la vecina.
#C...",Dataset_existente,1,1,1,1,3,2,3
124,"-Ayer me caí de una escalera de 20 metros -Qué mal, ¿pero estás bien? -Sí, por suerte me caí del primer escalón.",Dataset_existente,1,0,1,1,3,0,2
125,"-¿tiene tarjetas que digan ""Para el único Hombre de mi vida""? -Si tenemos -¡Me vende 6 por favor! #fb",Dataset_existente,1,1,1,1,2,2,4
126,"Familia ocupa un terreno sagrado en Hawai.
La policía los desaloha.",Dataset_existente,1,1,1,1,2,2,2
127,"—Tengo tarea de Física. 
—¿Cuántica? 
—Poquitica, pero la tengo que hacer.",Dataset_existente,1,0,1,1,4,0,4
128,"- Y para terminar la entrevista, dígame cuales son sus hobbies preferidos.

- Bilbo, Frodo y Sam.",Dataset_existente,1,0,1,1,3,0,2
129,"— ¿Nivel de latín? 
— Alto. 
— Termine la frase: Mens sana... 
— Culito de rana. 
— ¿En verdad sabe latín? 
— Por supuestum.",Dataset_existente,1,0,1,1,3,0,2
130,"—Del 1 a 10, ¿cuánto le gusta discutir?
—¿Se puede hasta el 15?
—No.
—¿Por qué no?",Dataset_existente,1,0,1,1,3,0,4
131,"—Hola, soy Testigo de Jehova... ¿Tendrá un minuto para hablar del Señor?

—Claro, adelante, de paso le cuento cómo Herbalife cambió mi vida.",Dataset_existente,0,1,1,1,0,3,4
132,"-¿Qué haces en tu tiempo libre? Soy asesina en serie -¿En serio? -No, en serie",Dataset_existente,1,0,1,1,4,0,2
133,-Hola vengo al curso para manejar la ansiedad     -Es mañana,Dataset_existente,1,1,0,1,2,3,0
134,"-¿Sabes cuál es el hermano vegetariano de Bruce Lee?
-Broco Lee.",Dataset_existente,1,1,0,1,2,2,0
135,"A tí que te gusta mas, ¿hacer el amor o la Navidad?
- Hombre, hacer el amor, pero lo que pasa es que la Navidad es mas a menudo... #xD #RT",Dataset_existente,1,0,1,1,3,0,3
136,"- Mami, ¿a que no adivinas dónde estoy?
- Hijo, ahora no puedo hablar, llámame luego.
- No puedo, sólo tengo derecho a una llamada...",Dataset_existente,1,0,1,1,2,0,4
137,-No estaba tan borracho... -¿Que no? ¡Abrazaste a un vagabundo con barba mientras gritabas: DUMBELDORE ESTA VIVO?! by @SergioManchego,Dataset_existente,0,1,1,1,0,3,2
138,Sabes cómo ganar miles de seguidores? - Patea un panal de abejas y verás. #chistes,Dataset_existente,1,1,1,1,4,2,3
139,"policía ¿cuál es su emergencia? 
- ¡Auxilio 2 chicas están peleando por mí! 
- Ok entiendo ¿pero cuál es el problema? 
- La fea va ganando",Dataset_existente,1,1,1,1,2,2,2
140,"- Hazme sentir bien, que todo sea lleno de colores.
Hazme ver las estrellas.
Hazme reir!
—No Jodas.! ¿Tu quieres un novio o marihuana?",Dataset_existente,1,1,0,1,4,3,0
141,"Maestro al alumno: -Por qué tan tarde? -Es que un Sr perdió un billete -Y ayudaste a buscarlo? -No, es que estaba parado sobre él!",Dataset_existente,1,1,1,1,5,2,3
142,Me gusta todo de ti.. te amo espejo.,Dataset_existente,1,1,1,1,2,2,2
143,"—Mi religión me prohíbe ir a sitios caros.
—¿Cuál es tu religión?
—La pobreza.
—Amén, hermano.",Dataset_existente,1,1,1,1,3,2,1
144,"-Sócrates, ¿qué le pasó a tu hermana la anoréxica?
-Yo sólo sé que no cenaba.",Dataset_existente,1,1,1,1,4,3,1
145,"Si se siente muy solo, abandonado y nadie lo llama, siga este consejo... atrásese con los pagos...",Dataset_existente,1,1,0,1,4,4,0
146,"No es tan gorda..
Es talle L ... LFante",Dataset_existente,0,1,1,1,0,5,2
147,"-Amor tengo un problema -No mi amor, ""tenemos un problema"" -Ah bueno. Vamos a tener un hijo con la secretaria!",Dataset_existente,1,1,1,1,3,1,3
148,"-¿Sabés chistes de gomerías?
- Un par, che",Dataset_existente,1,1,1,1,3,3,4
149,"#chiste
- He encontrado trabajo como profesor de inglés.
- ¿Trabajo estable?
- No, trabajo es job, table es mesa.",Dataset_existente,0,1,1,1,0,4,4
150,Qué hermosos ojos tenés como para romperte el culo.,Dataset_existente,1,1,0,1,2,3,0
151,"_ Mamá mamá, en la escuela me dicen Bon Jovi!
- Mañana hablo con la directora
_ No mamá!!, It's my life",Dataset_existente,1,1,1,1,4,3,2
152,—Tengo la sensación de haber estado antes aquí. —¿Cómo lo sabes? —El wifi se me ha conectado solo.,Dataset_existente,1,1,1,1,2,2,2
153,"-Kiko, ¿a cuándo hierve el agua? -A 90 grados. Interrumpe el Chavo: -¡Qué burro!, lo que hierve a 90 grados es el ángulo recto",Dataset_existente,0,1,1,1,0,3,4
154,"Mi madrina salio sin saco y se congelo de frio , ahora es helada madrina ..
#chistes",Dataset_existente,0,1,1,1,0,3,4
155,"Las personas que tienen sexo a diario están más sanas, felices y creativas. Los demás estamos aquí.",Dataset_existente,1,1,1,1,3,3,4
156,"-Manolo ¿cuál es la postura que más has usado para practicar sexo?
-De rodillas y pidiéndolo por favor...
#Chiste...",Dataset_existente,1,1,1,1,3,2,2
157,"Ayer me fui a confesar y le conté al cura todas las porquerías que hacíamos, me pidió tres padres nuestros y tu whatsapp, bien raro.",Dataset_existente,1,1,0,1,4,5,0
158,"¿Qué hace un gallego corriendo y gritando por el campo?
Siembra el pánico.",Dataset_existente,1,1,1,1,3,3,3
159,"—Buenos días, ¿Cómo se llamas? 
—Bush Hitler Bin Laden, ¿y tú, como te llamas? 
—Lunes 
—¡MALDITO TE ODIO! ¡TE ODIO! ¡¡TE ODIO!!",Dataset_existente,1,0,1,1,2,0,2
160,Era una señora tan recatada que se cambió de casa porque la calle donde vivía era de doble sentido... by @David_Correal,Dataset_existente,1,1,1,1,2,5,2
161,RT @horaciobella: — Doctor ¿Cómo está el nene que se tragó el billete de $100? — Sigue sin cambio,Dataset_existente,1,0,1,1,2,0,5
162,"Si un grillo hace un mal chiste, se escuchan humanos de fondo...",Dataset_existente,1,1,1,1,4,2,4
163,"Una Chica se compró un consolador y no le anduvo, es una pija.
#fuerte",Dataset_existente,0,1,1,1,0,2,1
164,"Tengo miedo que un dia Pitbull me diga ""YA TU SABES"" y yo no sepa.",Dataset_existente,0,1,1,1,0,3,5
165,—Mi hijo se metió a clases de natación. —¿Y qué tal lo hace? —Nada mal.,Dataset_existente,1,1,1,1,3,5,3
166,-¿Qué queremos? -Que en Twitter se puedan usar más de 140 caracteres -¿Por qué lo queremos? -Porque 140 no son suficientes -¿Cuándo lo quer,Dataset_existente,1,0,1,1,3,0,4
167,Vos....Yo....Cucharita....Pensalo *le hablaba al helado*,Dataset_existente,0,1,1,1,0,3,4
168,"#chistes - Mamá, mamá, en el colegio me llaman champú.
- Tranquilo, Johnson, no más lágrimas.",Dataset_existente,1,1,1,1,2,1,5
169,Les iba a contar un chiste de suicidas pero me colgué,Dataset_existente,0,1,1,1,0,4,2
170,"Mi primo se puso una remera para viajar en avion , porque leyó No Smoking
#chistesmalos",Dataset_existente,0,1,1,1,0,3,2
171,Murió el Pulpo Paul. Le pusieron dos ataúdes para que elija uno,Dataset_existente,0,1,1,1,0,2,2
172,"— Disculpe ¿Tiene la pastilla del día siguiente?

— Si.

— Esta bien, vengo mañana por ella.",Dataset_existente,1,1,1,1,5,3,2
173,"No sere lindo, pero soy feo.",Dataset_existente,0,1,1,1,0,2,3
174,Bailemos samba despacio . Sam va lentin.,Dataset_existente,1,1,1,1,2,2,3
175,"—No llores, hija, ya está en el cielo de los conejitos.
—Papá, era un gato.
—Da lo mismo, todo atropellado ni se va a notar.",Dataset_existente,1,1,0,1,2,3,0
176,"—Papá, ¿sabes cómo se despiden los quimicos? —No, ¿cómo? —Acido un gusto… cc @MATIPASCUALETTI",Dataset_existente,1,1,1,1,3,5,4
177,La señora se queja de los aros y el Señor de los Anillos. #CHISTES,Dataset_existente,1,1,1,1,1,1,2
178,De quien es esa boquita? de quien son esos ojitos? de quien es ese dedito?...No jodaaa! Esta morgue si es un desastre!,Dataset_existente,1,1,0,1,4,5,0
179,"Nada es más fuerte que el amor. . . . . Excepto la telaraña que columpiaba a los elefantes, esa sí estaba cabrona.",Dataset_existente,1,1,1,1,3,3,2
180,Sabes Chistes nocturnos? -No che...,Dataset_existente,0,1,1,1,0,3,2
181,"¿Quieres sorprender a tu novia este 14 de febrero?

Preséntale a tu esposa.",Dataset_existente,1,1,0,1,2,3,0
182,"Dios, q es para ti un siglo? -Un minuto -Y un millón de dólaress? -Un centavo -Concédeme un centavo! -Espérame un minuto, hijo",Dataset_existente,1,0,1,1,2,0,2
183,"—Lo que pasa en Las Vegas, se queda en Las Vegas.
—Nunca hemos estado en Las Vegas.
—Esa es la actitud.",Dataset_existente,1,1,1,1,4,4,4
184,"que le dijo un pelo de chino a otro pelo de chino : ¿poca onda no ?
#chistes",Dataset_existente,1,1,0,1,2,1,0
185,"A un hombre le robaron la tarjeta de crédito, pero no hizo la denuncia porque el ladrón gastaba menos que su esposa.",Dataset_existente,1,1,1,1,3,2,4
186,RT @yanuripalacios: Una esposa encuentra  a su marido hablando con un zapato. - ¿Amor xq hablas con el zapato? - es que dice CONVERSE.,Dataset_existente,1,1,1,1,2,2,2
